Gama;Grupo;Artigo;Família;Material;Acabamento;Código;Descrição / medida;Equivalente;Stock
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA050050        ;CHAPA PERFURADA AÇO MACI.2000x1000x0.5 C5 U7                        ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA080100        ;CHAPA PERFURADA AÇO MACI.2000x1000x0.8 C10 U13                      ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA0800507       ;CHAPA PERFURADA AÇO MACI.2000x1000x0.8 C5 U7                        ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA080080        ;CHAPA PERFURADA AÇO MACI.2000x1000x0.8 C8 U10                       ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA1001012       ;CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C10 U12                      ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA100100        ;CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C10 U13                      ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA1001015       ;CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C10 U15                      ;;1
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA100050        ;CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C5 U7                        ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA100080        ;CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C8 U10                       ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA1008012       ;CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C8 U12                       ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA1501012       ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C10 U12                      ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA1501013       ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C10 U13                      ;;1
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA1501014       ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C10 U14                      ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA1501015       ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C10 U15                      ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA15015018      ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C15 U18                      ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA15015020      ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C15 U20                      ;;1
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA150050        ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C5 U7                        ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA15005080      ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C5 U8                        ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA150080        ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C8 U10                       ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA15008012      ;CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C8 U12                       ;;1
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA2001013       ;CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C10 U13                      ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA2001014       ;CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C10 U14                      ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA2001015       ;CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C10 U15                      ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA2001520       ;CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C15 U20                      ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA200200        ;CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C20 U23                      ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA200080        ;CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C8 U10                       ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA2008010       ;CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C8 U10                       ;;2
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA2008012       ;CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C8 U12                       ;;1
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA3001015       ;CHAPA PERFURADA AÇO MACI.2000x1000x3.0 C10 U15                      ;;1
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA3001020       ;CHAPA PERFURADA AÇO MACI.2000x1000x3.0 C10 U20                      ;;1
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Aço Macio;;F1AA300200        ;CHAPA PERFURADA AÇO MACIO 2000x1000x3 C20 U23                       ;;0
Chapa Perfurada;Furo Quadrado CU;2000x1000 mm ; furos paralelos a 90º;Alumínio;;F6AA1501012       ;CHAPA PERFURADA ALUMINIO  2000x1000x1.5 C10 U12                     ;;0
